Tumbarumba branch line (January, February, March 1989) [letter] |||40|0|Oct|1937|239
Memories: railways in New South Wales 1957 1963 powe (video) [letter]|Grunbach, A.||48|0|Oct|1937|258
Early locomotive construction for the Victorian Railways (671 September 1993) [letter]|||45|0|Oct|1937|348?
Note on the WAGR's Dining Cars|Watson, L. G.|Dining car services operated on the WAGR from 1905 until 1975. This comprehensive article details the history and operation of these dining cars. Plans of the various types are included. 18 photos, 7 diagrams. |0|0|Oct|1937|0
South Australian railways J class steam locomotives [letter]|||44|0|Oct|1937|
The Budd rail cars of the New South Wales railways (635 September 1990) [letter]|||44|0|Oct|1937|
Ambulance rail motors in Queensland (631 May 1990) [letter]|||44|0|Oct|1937|
Sugar cane railways|||44|0|Oct|1937|
The Boggabilla branch (664 February 1993) [letter]|||44|0|Oct|1937|
The first 48 class 0-6-0 goods saddle tank locomotives of the NSWGR [letter]|||44|0|Oct|1937|
The swansong of the R/RA class (681 July 1994) [corrigenda]|||45|0|Oct|1937|
NSWR. 'SHO' passenger brakevan|Singleton, C. C.|In 1937 two of these brakevans were converted from bogie hearse vans (BKE) no longer being used. 1 diagram. |1|1|Nov|1937|1
NSWR Z-23 class locomotives (old o 446 class)|Park, M. A.|This article describes these 12 Baldwin-built locos introduced in 1891. Details are given as originally built and as rebuilt with superheaters. |1|1|Nov|1937|1-2
Kogarah - Sans Souci steam tramway|Anonymous|This is a description of the line which operated from 1887 to 1937 and of its locos. 2 diagrams. |1|1|Nov|1937|3-5
Locomotives of the Port Kembla Harbour works (Public Works Dept)|Singleton, C. C.|This article is a very brief history of the development of the Port of Port Kembla, Details of 8 locos are shown, by road number, wheel arrangement, cylinder dimensions, builder, builder's number, date and remarks. Additional information. appears in Bn.45, July 1941, p 12 and Bn 72, Oct, 1943, p 51. |1|1|Nov|1937|10
Parramatta steam tramways - Sydney ferries Ltd (owners) [1]|Matthews, H. H.; Dunstan, A. H.|This is a detailed description of the tramway which ran from the junction of Parramatta and Duck Rivers to Parramatta park. It was opened in 1883. 1 sketch, map, 2 diagrams. Article is continued in Bn 3, Jan. 1938, |1|2|Dec|1937|18-20
Renumbering of NSWR Great Northern railway locomotives 1889|Park, M. A.|After the opening of the Hawkesbury, River bridge in 1889 the NI-;W northern and southern systems became one. A new classification system was introduced in 1890, for the entire NSWR system. This is a listing of the Great Northern Railway loco classes with the, 1890 classifications, wheel arrangement, builder and date. |1|3|Jan|1938|24
Renumbering and reclassification of NSWR locomotives 1924|Park, M. A.|This listing shows each 1924 loco class together with details of the 1890 class, wheel arrangement, builder, and the sequences of old and new road numbers allocated to locos in that class. |1|3|Jan|1938|25-26
Parramatta steam tramways - Sydney ferries ltd (owners) [2]|Matthews, H. H.; Dunstan, A. H.|This is a detailed description of the tramway which ran from the junction of Parramatta and Duck Rivers to Parramatta park. It was opened in 1883. 1 sketch, map, 2 diagrams. Article is continued in Bn 3, Jan. 1938, |1|3|Jan|1938|26-27
NSWR Z-15 and Z-16 class locomotives (old d-255,d-261 and d-334 classes)|Park, M. A.|This is a history of these classes in NSWR service, with technical details given in tabular form. |1|4|Feb|1938|30-32
Bulli colliery to Bulli jetty private railway [1]|Eardley, G. H.; Singleton, C. C.|This is a short history of this private line which includes details of the locos used. 1 sketch map. |1|4|Feb|1938|33-34
Early NSWR locomotives - 'the singles'|Park, M. A.|This is a brief history of Classes 6, 8, 9 and T-14 with their technical details shown in tabular form. |1|5|Mar|1938|38-40
Locomotive and train working on the NSWR in 1869|Anonymous|This interesting and informative article covers the working of all trains on the NSW Great Southern and Western Railways in 1869. Government Railways- NSW/ Railway Operations NSW / Country Railways NSW|1|6|Apr|1938|44-46
NSW tramways at Broken Hill|Thomas, C. B.; C.C Singleton|This article describes the routes of this city's tramway system which operated from 1900 to 1932. 1 sketch map. |1|6|Apr|1938|47-48
The Wangaratta-Whitfield narrow-gauge railway|Stephens, E. M.|This is a brief history of this line with a description of the locos used at the time of writing. |1|6|Apr|1938|51-52
Bulli colliery to Bulli jetty private railway [2]|Eardley, G. H.; Singleton, C. C.||1|7|May|1938|54-57
